benefactorClass,benefactorName,benefactorType,benefactorAddress,benefactorPostcode,benefactorCompanyNumber,recipientClass,recipientName,ecReference,type,value,referenceNumber,rate,status,amountRepaid,amountConverted,amountOutstanding,startDate,endDate,repaidDate,ecLastNotifiedDate,recordedBy
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036679,Credit Facility,200000000,,5% above bank base rate,Ended,200000000,,,2009-11-11,2009-12-31,2009-12-31,2009-12-31,
Individual,Jackie Turner,Individual,,,,Party,Left List [De-registered 20/04/10],Political Party,AL0036682,Loan,1000000,,Nil,Ended,1000000,,,2009-03-19,2010-04-30,2010-04-30,2009-03-31,
Individual,Baroness Sharp,Individual,,,,Party,Liberal Democrats,Political Party,AL0036694,Loan,100000,,Nil,Ended,100000,,,2009-05-26,2010-01-26,2010-01-26,2009-06-30,Guildford
Individual,Tom Sharp,Individual,,,,Party,Liberal Democrats,Political Party,AL0036695,Loan,100000,,Nil,Ended,100000,,,2009-05-26,2010-02-22,2010-02-22,2009-06-30,Guildford
Individual,David Simmons,Individual,,,,Party,Liberal Democrats,Political Party,AL0036696,Loan,100000,,Nil,Ended,,100000,,2009-07-09,2010-01-26,2010-01-26,2009-09-30,Camden Borough
Individual,Tom Brake,Individual,,,,Party,Liberal Democrats,Political Party,AL0036740,Loan,86747,,Nil,Ended,,86747,,2009-05-25,2009-06-30,2009-06-30,2009-06-30,Sutton Borough
Individual,Peter Wood,Individual,,,,Party,Liberal Democrats,Political Party,AL0036741,Loan,200000,,Nil,Ended,200000,,,2009-04-24,2009-06-30,2009-06-30,2009-06-30,Edinburgh South
Individual,Anne Winstanley,Individual,,,,Party,Liberal Democrats,Political Party,AL0036742,Loan,100000,,Nil,Ended,100000,,,2009-07-03,2009-12-31,2009-12-31,2009-09-30,Eastleigh
Individual,Philip Eavis,Individual,,,,Party,Liberal Democrats,Political Party,AL0036745,Loan,200000,,Nil,Ended,200000,,,2009-10-13,2009-11-16,2009-11-16,2009-12-31,Wells
Individual,Jeremy Hall,Individual,,,,Party,Liberal Democrats,Political Party,AL0036746,Loan,450000,,Nil,Ended,450000,,,2009-06-17,2009-09-08,2009-09-08,2009-06-30,Chippenham
Individual,Patricia Hutton,Individual,,,,Party,Liberal Democrats,Political Party,AL0036747,Loan,200000,,Nil,Ended,100000,100000,,2009-07-02,2009-10-07,2009-10-07,2009-09-30,Camden Borough
Individual,Joanna Kenny,Individual,,,,Party,Liberal Democrats,Political Party,AL0036749,Loan,139516,,Nil,Ended,,139516,,2009-03-30,2009-12-23,2009-12-23,2009-03-31,St Austell & Newquay
Individual,Andrew Jamieson,Individual,,,,Party,Pro Democracy: Libertas.eu [De-registered 02/11/10],Political Party,AL0036753,Loan,500000,,Nil,Ended,,500000,,2009-05-06,2010-06-30,2010-06-30,2009-06-30,
Individual,Andrew Jamieson,Individual,,,,Party,Pro Democracy: Libertas.eu [De-registered 02/11/10],Political Party,AL0036754,Loan,500000,,Nil,Ended,,500000,,2009-05-06,2010-06-30,2010-06-30,2009-06-30,
Individual,Kevin O'Connell,Individual,,,,Party,Pro Democracy: Libertas.eu [De-registered 02/11/10],Political Party,AL0036755,Loan,500000,,Nil,Ended,,500000,,2009-05-06,2010-06-30,2010-06-30,2009-06-30,
Individual,Kevin O'Connell,Individual,,,,Party,Pro Democracy: Libertas.eu [De-registered 02/11/10],Political Party,AL0036756,Loan,500000,,Nil,Ended,,500000,,2009-05-06,2010-06-30,2010-06-30,2009-06-30,
Individual,Kevin O'Connell,Individual,,,,Party,Pro Democracy: Libertas.eu [De-registered 02/11/10],Political Party,AL0036757,Loan,50000,,Nil,Ended,,50000,,2009-05-06,2010-06-30,2010-06-30,2009-06-30,
Individual,Dan Hill,Individual,,,,Party,Pro Democracy: Libertas.eu [De-registered 02/11/10],Political Party,AL0036758,Loan,500000,,Nil,Ended,,500000,,2009-05-06,2010-06-30,2010-06-30,2009-06-30,
Individual,Dan Hill,Individual,,,,Party,Pro Democracy: Libertas.eu [De-registered 02/11/10],Political Party,AL0036759,Loan,150000,,Nil,Ended,,150000,,2009-05-06,2010-06-30,2010-06-30,2009-06-30,
Individual,Alastair Whitelaw,Individual,,,,Party,Scottish Green Party,Political Party,AL0036763,Loan,506000,,Nil,Ended,506000,,,2009-05-01,2009-05-06,2009-05-06,2009-06-30,
Individual,Anthony Micklethwait,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036774,Loan,575000,,Nil,Ended,200000,375000,,2009-09-28,2010-01-01,2010-01-01,2009-09-30,
Individual,Nikki Sinclaire,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036779,Loan,240000,,Nil,Ended,240000,,,2009-03-29,2009-04-29,2009-04-29,2009-03-31,West Midlands
Individual,Alan Wood,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036781,Loan,500000,,Nil,Ended,500000,,,2009-05-11,2009-08-31,2009-08-31,2009-06-30,South West
Individual,David Bendall,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036782,Loan,200000,,Nil,Ended,200000,,,2009-05-29,2009-08-31,2009-08-31,2009-06-30,South West
Individual,Adrian Blake,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036783,Loan,200000,,Nil,Ended,200000,,,2009-05-16,2009-08-31,2009-08-31,2009-06-30,South West
Individual,John Kelly,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036784,Loan,200000,,Nil,Ended,200000,,,2009-05-21,2009-08-31,2009-08-31,2009-06-30,South West
Individual,William Philip Seymour Richards,Individual,,,,Party,"Christian Party ""Proclaiming Christ's Lordship"" [De-registered 26/07/12]",Political Party,AL0036290,Loan,5000000,,Nil,Outstanding,,,5000000,2010-06-07,,,2010-06-30,
Organisation,Lloyds TSB Bank PLC,Company,25 Gresham Street,EC2V 7HN,2065,Party,Conservative Party,Political Party,AL0036293,Credit Facility,2500000,,Base +3%,Ended,2500000,,,2010-04-10,,2012-09-14,2011-04-11,Yeovil
Individual,Jasmine Chesters,Individual,,,,Party,Conservative Party,Political Party,AL0036294,Loan,1100000,,Fixed: 6.75%,Outstanding,,,1100000,2010-09-20,,,2010-09-30,North Devon
Individual,Margot Gregory,Individual,,,,Party,Conservative Party,Political Party,AL0036295,Loan,300000,,Nil,Ended,300000,,,2010-10-22,,2011-02-05,2010-12-31,Wokingham
Organisation,BNP Paribas Lease Group (Rentals) Plc,Company,St James Court,B51 3LH,2133823,Party,Conservative Party,Political Party,AL0036296,Loan,379224,,Fixed 9.4%,Outstanding,,,379224,2010-09-07,2015-09-07,,2010-09-30,Totnes
Individual,Andrew Bridgen,Individual,,,,Party,Conservative Party,Political Party,AL0036297,Loan,300000,,Nil,Ended,300000,,,2010-09-01,,2012-06-11,2010-09-30,North West Leicestershire
Individual,James H Holt,Individual,,,,Party,Conservative Party,Political Party,AL0036298,Loan,421000,,Nil,Outstanding,,,421000,2010-09-28,,,2010-09-30,Thirsk and Malton
Organisation,Ford Memorial Trust,Unincorporated Association,c/o Geoff Gollop,BS1 5QT,,Party,Conservative Party,Political Party,AL0036299,Loan,1000000,,Nil,Outstanding,,,1000000,2010-07-30,,,2010-09-30,Bristol West
Organisation,Royal Bank of Scotland,Company,6 The Square,TD5 7HG,SC090312,Party,Conservative Party,Political Party,AL0036300,Loan,5000000,,Fixed 8.5%,Outstanding,,,5000000,2010-05-14,,,2011-04-11,"Berwickshire, Roxburgh & Selkirk"
Individual,Mrs A B Palmer,Individual,,,,Party,Conservative Party,Political Party,AL0036301,Loan,550000,,Nil,Ended,550000,,,2010-06-01,,2013-06-26,2011-04-11,Elmet and Rothwell
Individual,Mr D Mackenzie,Individual,,,,Party,Conservative Party,Political Party,AL0036302,Loan,200000,,Nil,Ended,200000,,,2010-05-27,2010-08-30,2011-12-31,2011-04-11,Harrogate & Knaresborough
Organisation,Woodlands School Ltd,Company,428 Rayleigh Road,CM13 1SD,1389757,Party,Conservative Party,Political Party,AL0036303,Loan,296961,,Nil,Ended,296961,,,2010-01-25,,2013-04-17,2010-03-31,Great Yarmouth
Organisation,Woodlands School Ltd,Company,428 Rayleigh Road,CM13 1SD,1389757,Party,Conservative Party,Political Party,AL0036304,Loan,303139,,Nil,Ended,303139,,,2010-03-15,,2013-04-17,2010-03-31,Great Yarmouth
Organisation,Woodlands School Ltd,Company,428 Rayleigh Road,CM13 1SD,1389757,Party,Conservative Party,Political Party,AL0036305,Loan,166667,,Nil,Ended,166667,,,2010-03-28,,2013-04-17,2010-03-31,Great Yarmouth
Individual,Brian Steward,Individual,,,,Party,Conservative Party,Political Party,AL0036306,Loan,500000,,Nil,Outstanding,,,500000,2010-02-12,,,2010-03-31,North Tyneside Federation
Individual,Geoffrey N Crass,Individual,,,,Party,Conservative Party,Political Party,AL0036307,Loan,278200,,Nil,Ended,,278200,,2010-01-04,,2011-10-06,2010-03-31,Sedgefield
Organisation,Ford Memorial Trust,Unincorporated Association,c/o Geoff Gollop,BS1 5QT,,Party,Conservative Party,Political Party,AL0036308,Loan,2500000,,Nil,Outstanding,,,2500000,2010-02-05,,,2010-03-31,Bristol West
Individual,Paul Judge,Individual,,,,Party,Jury Team [De-registered 09/05/11],Political Party,AL0036381,Loan,8000000,,Nil,Outstanding,,,8000000,2010-04-01,,,2010-06-30,
Individual,Paul Judge,Individual,,,,Party,Jury Team [De-registered 09/05/11],Political Party,AL0036382,Loan,8150000,,Nil,Outstanding,,,8150000,2010-01-20,,,2010-03-31,
Individual,Mark Mildred,Individual,,,,Party,Labour Party,Political Party,AL0036387,Loan,200000,,Nil,Ended,200000,,,2010-12-10,2012-12-31,2012-05-04,2010-12-31,Battersea CLP
Organisation,Dumfries and Galloway Labour Group,Unincorporated Association,Council Offices,DG1 2DD,,Party,Labour Party,Political Party,AL0036388,Loan,64700,,Nil,Ended,64700,,,2010-12-01,,2011-11-16,2010-12-31,"Dumfriesshire, Clydesdale and Tweeddale CLP DR"
Organisation,Wealdstone Labour Halls Limited,Company,c/o Sproull & Co.,HA1 1EJ,258706,Party,Labour Party,Political Party,AL0036389,Loan,150000,,Nil,Ended,150000,,,2010-03-11,,2013-07-31,2010-03-31,Harrow East CLP
Organisation,Wealdstone Labour Halls Limited,Company,c/o Sproull & Co.,HA1 1EJ,258706,Party,Labour Party,Political Party,AL0036390,Loan,150000,,Nil,Ended,150000,,,2010-11-05,,2013-07-31,2010-12-31,Harrow East CLP
Individual,David McLoughlin,Individual,,,,Party,Labour Party,Political Party,AL0036391,Loan,800000,,Nil,Ended,800000,,,2010-07-23,2012-07-15,2011-07-28,2010-09-30,Brentford and Isleworth CLP
Individual,Geof Boyd,Individual,,,,Party,Labour Party,Political Party,AL0036392,Loan,200000,,Nil,Ended,200000,,,2010-08-03,2011-12-31,2012-05-21,2010-09-30,Battersea CLP
Individual,Tony Belton,Individual,,,,Party,Labour Party,Political Party,AL0036393,Loan,300000,,Nil,Ended,300000,,,2010-08-06,2011-12-31,2011-12-21,2010-09-30,Battersea CLP
Individual,Penelope Corfield,Individual,,,,Party,Labour Party,Political Party,AL0036394,Loan,500000,,Nil,Ended,500000,,,2010-08-06,2011-12-31,2010-12-21,2010-09-30,Battersea CLP
Individual,Fred Ponsonby,Individual,,,,Party,Labour Party,Political Party,AL0036395,Loan,500000,,Nil,Ended,500000,,,2010-08-11,2011-12-31,2012-11-21,2010-09-30,Battersea CLP
Individual,Simon Hogg,Individual,,,,Party,Labour Party,Political Party,AL0036396,Loan,200000,,Nil,Ended,200000,,,2010-08-16,2011-12-31,2011-11-29,2010-09-30,Battersea CLP
Individual,Peter Carpenter,Individual,,,,Party,Labour Party,Political Party,AL0036397,Loan,500000,,Nil,Ended,500000,,,2010-08-05,2012-08-05,2012-08-30,2010-09-30,Battersea CLP
Organisation,Wimbledon Labour Hall Co-operative Society Limited,Friendly Society,The William Morris Meeting Rooms,SW19 1SD,,Party,Labour Party,Political Party,AL0036398,Loan,200000,,Nil,Ended,200000,,,2010-08-01,,2013-09-30,2010-09-30,Wimbledon CLP
Organisation,Unity Trust Bank PLC,Company,Nine Brindley Place,B1 2HB,1713124,Party,Labour Party,Political Party,AL0036399,Loan,7000000,,Bank base rate plus 2% - minimum 4%,Outstanding,750000,,6250000,2010-05-28,2029-05-28,,2010-06-30,Rhondda CLP
Individual,Kathleen Allen,Individual,,,,Party,Labour Party,Political Party,AL0036400,Loan,300000,,Nil,Outstanding,200000,,100000,2010-02-09,,,2010-03-31,Sutton and Cheam CLP
Organisation,Kingprint,Unincorporated Association,Suite 7 Fenton Court,BS7 8ND,,Party,Liberal Democrats,Political Party,AL0036453,Loan,800000,,Nil,Ended,800000,,,2010-12-20,2011-12-31,2011-12-31,2011-03-21,North Bristol
Individual,Leigh Ibbotson,Individual,,,,Party,Liberal Democrats,Political Party,AL0036454,Loan,450000,,Nil,Outstanding,,,450000,2010-09-24,,,2010-09-30,Truro & Falmouth
Organisation,Royal Bank of Scotland,Company,34 St Andrews Square,EH2 2XB,SC090312,Party,Liberal Democrats,Political Party,AL0036455,Credit Facility,200000,,12.50%,Ended,200000,,,2010-03-01,2011-10-31,2011-10-30,2010-03-31,Liberal Youth
Individual,Patrcia Hutton,Individual,,,,Party,Liberal Democrats,Political Party,AL0036457,Loan,100000,,Nil,Ended,100000,,,2010-03-26,2011-05-31,2011-10-31,2010-03-31,Camden Borough
Individual,Ian Campion-Smith,Individual,,,,Party,Liberal Democrats,Political Party,AL0036458,Loan,100000,,Nil,Ended,100000,,,2010-07-05,2010-12-31,2010-12-31,2010-03-31,North Bristol
Individual,Cllr Ian Marks,Individual,,,,Party,Liberal Democrats,Political Party,AL0036459,Loan,300000,,Nil,Ended,300000,,,2010-08-10,,2012-06-30,2010-09-30,Warrington
Individual,Cllr Flick Rea,Individual,,,,Party,Liberal Democrats,Political Party,AL0036460,Loan,100000,,Nil,Ended,100000,,,2010-04-27,2011-05-31,2011-10-03,2010-06-30,Camden Borough
Individual,Edward Clayton,Individual,,,,Party,Liberal Democrats,Political Party,AL0036461,Loan,300000,,Nil,Outstanding,250000,,50000,2010-04-13,2011-05-31,,2010-06-30,Camden Borough
Organisation,Network Technologies & Associates Ltd,Company,Primrose House,CB8 8LB,2870670,Party,Liberal Democrats,Political Party,AL0036462,Loan,235000,,Nil,Ended,235000,,,2010-04-29,2010-12-31,2010-05-13,2010-06-30,East of England Region
Individual,Alan Nelson,Individual,,,,Party,Liberal Democrats,Political Party,AL0036463,Loan,200000,,Nil,Ended,68000,132000,,2010-06-14,2010-08-31,2011-02-02,2010-06-30,"Inverness, Nairn, Badenoch & Strathspey"
Individual,John Parker,Individual,,,,Party,Liberal Democrats,Political Party,AL0036464,Loan,250000,,Nil,Ended,250000,,,2010-06-01,2011-12-31,2013-11-26,2010-06-30,Romsey & Southampton North
Individual,Stephen Locke,Individual,,,,Party,Liberal Democrats,Political Party,AL0036466,Loan,500000,,Nil,Ended,500000,,,2010-05-03,2012-04-30,2013-01-06,2010-06-30,Lewisham & North Beckenham
Individual,Dominic Mathon,Individual,,,,Party,Liberal Democrats,Political Party,AL0036468,Loan,1000000,,Nil,Ended,,1000000,,2010-04-22,2011-07-31,2011-08-01,2010-06-30,Islington Borough
Individual,Dominic Mathon,Individual,,,,Party,Liberal Democrats,Political Party,AL0036469,Loan,1000000,,Nil,Ended,,1000000,,2010-05-13,2011-10-01,2011-10-01,2010-06-30,Islington Borough
Individual,David Faulkner,Individual,,,,Party,Liberal Democrats,Political Party,AL0036470,Loan,500000,,Nil,Outstanding,,,500000,2010-04-19,,,2010-06-30,Newcastle City
Individual,Andy Wylie,Individual,,,,Party,Liberal Democrats,Political Party,AL0036471,Loan,550000,,Nil,Ended,500000,50000,,2010-04-16,,2010-09-11,2010-06-30,Watford
Individual,Philip Eavis,Individual,,,,Party,Liberal Democrats,Political Party,AL0036472,Loan,200000,,Nil,Ended,200000,,,2010-04-01,2010-12-31,2010-12-31,2010-06-30,Wells
Individual,Anne Winstanley,Individual,,,,Party,Liberal Democrats,Political Party,AL0036473,Loan,1000000,,Nil,Outstanding,,,1000000,2010-05-29,,,2010-06-30,Eastleigh
Individual,David Martin,Individual,,,,Party,Liberal Democrats,Political Party,AL0036474,Loan,200000,,Nil,Ended,200000,,,2010-04-01,2010-12-31,2011-07-26,2010-06-30,Twickenham & Richmond
Individual,Karen Gillard,Individual,,,,Party,Liberal Democrats,Political Party,AL0036475,Loan,1091755,,Nil,Outstanding,,,1091755,2010-05-27,2012-12-31,,2010-06-30,
Individual,Joyce Mepsted,Individual,,,,Party,Liberal Democrats,Political Party,AL0036476,Loan,1200000,,Nil,Ended,1200000,,,2010-02-04,2012-07-01,2011-10-31,2010-03-31,South East Cornwall
Individual,Cllr John Turner,Individual,,,,Party,Liberal Democrats,Political Party,AL0036477,Loan,200000,,Nil,Ended,200000,,,2010-03-29,2012-12-31,2011-11-13,2010-03-31,South East Cornwall
Individual,Philip Vince,Individual,,,,Party,Liberal Democrats,Political Party,AL0036478,Loan,200000,,Nil,Outstanding,,,200000,2010-03-17,2011-05-30,,2010-03-31,Camden Borough
Individual,John Smithson,Individual,,,,Party,Liberal Democrats,Political Party,AL0036479,Loan,200000,,Nil,Ended,200000,,,2010-01-11,2010-12-31,2010-07-12,2010-03-31,Yorkshire & Humber Region
Individual,Professor John Howson,Individual,,,,Party,Liberal Democrats,Political Party,AL0036480,Loan,800000,,Nil,Ended,,800000,,2010-01-14,2010-07-01,2011-05-31,2010-03-31,"Camborne, Redruth & Hayle"
Individual,Mark Crowne,Individual,,,,Party,Liberal Democrats,Political Party,AL0036481,Loan,500000,,Nil,Ended,500000,,,2010-01-04,2010-12-31,2010-09-11,2010-03-31,Watford
Individual,John Richmond,Individual,,,,Party,Liberal Democrats,Political Party,AL0036482,Loan,200000,,Nil,Ended,200000,,,2010-01-04,2011-06-01,2010-09-11,2010-03-31,Watford
Individual,John Ferguson,Individual,,,,Party,Scottish National Party (SNP),Political Party,AL0036545,Loan,1000000,,Nil,Ended,1000000,,,2010-11-11,2011-06-30,2011-08-08,2010-12-31,
Individual,Angus Tulloch,Individual,,,,Party,Scottish National Party (SNP),Political Party,AL0036546,Loan,5000000,,Nil,Ended,5000000,,,2010-04-01,,2012-07-02,2006-03-31,
Individual,John Stuart Wheeler,Individual,,,,Party,Trust [De-registered 12/04/11],Political Party,AL0036561,Credit Facility,2000000,,Nil,Ended,,2000000,,2010-03-26,2010-06-01,2010-09-30,2010-03-31,
Individual,John Fenty,Individual,,,,Party,Conservative Party,Political Party,AL0036565,Loan,2000000,,Nil,Ended,2000000,,,2010-02-02,2010-12-21,2010-12-21,2010-03-31,Great Grimsby
Individual,Victoria Ayling,Individual,,,,Party,Conservative Party,Political Party,AL0036566,Loan,539583,,Nil,Ended,539583,,,2010-06-04,2010-12-21,2010-12-21,2011-04-11,Great Grimsby
Individual,Steven Schrier,Individual,,,,Party,Conservative Party,Political Party,AL0036567,Loan,1000000,,Nil,Ended,1000000,,,2010-03-30,2010-11-17,2010-11-17,2010-03-31,Havant
Individual,Thomas R M Duke,Individual,,,,Party,Conservative Party,Political Party,AL0036568,Loan,300000,,Nil,Ended,300000,,,2010-06-07,2010-10-12,2010-10-12,2011-04-11,Islington South & Finsbury
Individual,Barbara Slaughter,Individual,,,,Party,Conservative Party,Political Party,AL0036578,Loan,237937,,Nil,Ended,,237937,,2010-05-22,2010-09-16,2010-09-16,2011-04-11,Lewisham West & Penge
Individual,Janice Birch,Individual,,,,Party,Conservative Party,Political Party,AL0036580,Loan,200000,,Nil,Ended,200000,,,2010-01-23,2010-04-26,2010-04-26,2010-03-31,Gower
Organisation,Redcar Labour Group,Unincorporated Association,Town Hall,TS6 9AR,,Party,Labour Party,Political Party,AL0036643,Loan,580000,,Nil,Ended,580000,,,2010-05-28,2010-11-03,2010-11-03,2010-06-30,Redcar CLP
Individual,Peter Truesdale,Individual,,,,Party,Liberal Democrats,Political Party,AL0036684,Loan,300000,,Nil,Ended,300000,,,2010-05-01,2010-12-16,2010-12-16,2010-06-30,Vauxhall
Individual,Andy Wylie,Individual,,,,Party,Liberal Democrats,Political Party,AL0036685,Loan,500000,,Nil,Ended,500000,,,2010-03-31,2010-11-30,2010-11-30,2010-03-31,Watford
Individual,Derek Scudder,Individual,,,,Party,Liberal Democrats,Political Party,AL0036686,Loan,200000,,Nil,Ended,200000,,,2010-02-25,2010-11-30,2010-11-30,2010-03-31,Watford
Individual,Jenny Stevens,Individual,,,,Party,Liberal Democrats,Political Party,AL0036687,Loan,270000,,Nil,Ended,270000,,,2010-05-27,2010-11-27,2010-11-27,2010-06-30,Colchester
Individual,Susan Kramer,Individual,,,,Party,Liberal Democrats,Political Party,AL0036688,Loan,417000,,Nil,Ended,417000,,,2010-04-12,2010-07-15,2010-07-15,2010-06-30,Twickenham & Richmond
Individual,Dr J Vincent Cable,Individual,,,,Party,Liberal Democrats,Political Party,AL0036689,Loan,1000000,,Nil,Ended,1000000,,,2010-04-13,2010-05-25,2010-05-25,2010-06-30,Twickenham & Richmond
Individual,D.W. Bill Morrison,Individual,,,,Party,Liberal Democrats,Political Party,AL0036690,Loan,240000,,Nil,Ended,240000,,,2010-04-01,2010-04-14,2010-04-14,2010-06-30,Mid Sussex
Individual,Peter Wood,Individual,,,,Party,Liberal Democrats,Political Party,AL0036691,Loan,200000,,Nil,Ended,200000,,,2010-01-22,2010-06-05,2010-06-05,2010-03-31,Edinburgh South
Individual,Dr Sal Brinton,Individual,,,,Party,Liberal Democrats,Political Party,AL0036692,Loan,200000,,Nil,Ended,,200000,,2010-01-04,2010-05-24,2010-05-24,2010-03-31,Watford
Individual,Mary Taylor,Individual,,,,Party,Liberal Democrats,Political Party,AL0036693,Loan,500000,,Nil,Ended,,500000,,2010-03-26,2010-06-24,2010-06-24,2010-03-31,Watford
Individual,Julian Blackwell,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036767,Loan,5000000,,Nil,Ended,,5000000,,2010-05-27,2010-09-30,2010-09-30,2010-06-30,United Kingdom Independence Party Limited
Individual,Patrick Barbour,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036768,Loan,5000000,,Nil,Ended,,5000000,,2010-05-27,2010-09-30,2010-09-30,2010-06-30,United Kingdom Independence Party Limited
Individual,Patrick Barbour,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036769,Loan,6250000,,Nil,Ended,,6250000,,2010-01-18,2010-09-30,2010-09-30,2010-03-31,United Kingdom Independence Party Limited
Individual,Patrick Barbour,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036770,Loan,3750000,,Nil,Ended,,3750000,,2010-02-15,2010-09-30,2010-09-30,2010-03-31,United Kingdom Independence Party Limited
Individual,Julian Blackwell,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036771,Loan,12500000,,Nil,Ended,,12500000,,2010-01-18,2010-09-30,2010-09-30,2010-03-31,United Kingdom Independence Party Limited
Individual,Lord Pearson of Rannoch,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036772,Loan,6250000,,Nil,Ended,,6250000,,2010-01-21,2010-09-30,2010-09-30,2010-03-31,United Kingdom Independence Party Limited
Individual,Lord Pearson of Rannoch,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0036773,Loan,5000000,,Nil,Ended,5000000,,,2010-04-20,2010-06-03,2010-06-03,2010-06-30,United Kingdom Independence Party Limited
Individual,Kevin Lee,Individual,,,,Organisation,Andy Burnham,Regulated Donee,AL0037051,Loan,1149305,,0,Ended,1149305,,,2010-10-01,,2011-02-04,2011-12-06,
Individual,Kevin Lee,Individual,,,,Organisation,Andy Burnham,Regulated Donee,AL0037053,Loan,1000000,,Not specified,Outstanding,,,1000000,2010-07-09,,,2010-07-14,
Individual,John Spellar,Individual,,,,Organisation,Edward Balls,Regulated Donee,AS0037054,Authorised Participant Security,1292500,,Not specified,Ended,1292500,,,2010-06-02,,2010-09-30,2010-07-12,
Organisation,The Royal Bank of Scotland,Company,36 ST ANDREW SQUARE,EH2 2YB,SC090312,Organisation,Lisa Eve Nandy,Regulated Donee,AL0037061,Credit Facility,300000,,0,Outstanding,,,300000,2010-03-05,,,2010-06-07,
Organisation,Lloyds TSB,Company,25 GRESHAM STREET,EC2V 7HN,2652402,Organisation,Valerie Vaz,Regulated Donee,AL0037062,Credit Facility,350000,,1.48,Outstanding,,,350000,2010-05-24,,,2010-06-04,
Individual,Felicia Gavron,Individual,,,,Organisation,Kenneth Livingstone,Regulated Donee,AL0037065,Loan,500000,,Not specified,Outstanding,,,500000,2010-07-01,,,2010-07-21,
Individual,John Stuart Wheeler,Individual,,,,Party,Trust [De-registered 12/04/11],Political Party,AL0037134,Credit Facility,4000000,,Not specified,Ended,,4000000,,2010-04-06,2011-09-30,2010-09-30,2011-04-07,
Individual,John Stuart Wheeler,Individual,,,,Party,Trust [De-registered 12/04/11],Political Party,AL0037135,Credit Facility,4000000,,Not specified,Ended,,4000000,,2010-04-13,2029-01-29,2010-09-30,2011-04-07,
Individual,John Stuart Wheeler,Individual,,,,Party,Trust [De-registered 12/04/11],Political Party,AL0037136,Credit Facility,4000000,,Not specified,Ended,,4000000,,2010-04-20,2026-01-29,2010-09-30,2011-04-07,
Individual,Peter Walker,Individual,,,,Party,Liberal Democrats,Political Party,AL0037218,Loan,300000,,Nil,Ended,300000,,,2010-12-01,2011-12-31,2012-06-30,2011-04-28,Warrington
Organisation,National Westminster Bank Plc,Company,225 High Street,LN2 1AZ,929027,Party,Conservative Party,Political Party,AL0042333,Credit Facility,6000000,,Base +3%,Outstanding,,,6000000,2010-04-01,,,2011-07-28,Taunton Deane
Individual,Alex Feakes,Individual,,,,Party,Liberal Democrats,Political Party,AL0088829,Loan,329340,,Nil,Ended,,329340,,2010-04-23,2013-04-30,2013-01-06,2013-04-29,Lewisham & North Beckenham
Individual,Stephen Locke,Individual,,,,Party,Liberal Democrats,Political Party,AL0088830,Loan,1000000,,Nil,Ended,1000000,,,2010-04-23,2013-04-30,2013-01-06,2013-04-29,Lewisham & North Beckenham
Individual,Jennifer Smiley,Individual,,,,Party,Labour Party,Political Party,AL0037129,Loan,300000,,Nil,Outstanding,,,300000,2011-01-01,,,2011-04-28,Wallasey CLP
Individual,Angus Tulloch,Individual,,,,Party,Scottish National Party (SNP),Political Party,AL0037131,Loan,7500000,,Nil,Ended,7500000,,,2011-02-25,,2012-07-02,2011-04-30,
Individual,William Wilson,Individual,,,,Party,Scottish National Party (SNP),Political Party,AL0037132,Loan,3000000,,Nil,Ended,3000000,,,2011-02-08,,2012-02-08,2011-04-30,
Individual,The Reverend James George Hargreaves,Individual,,,,Party,"Christian Party ""Proclaiming Christ's Lordship"" [De-registered 26/07/12]",Political Party,AL0037138,Loan,200000,,Not specified,Outstanding,,,200000,2011-03-29,,,2011-04-30,
Individual,Donald Boyd,Individual,,,,Party,"Christian Party ""Proclaiming Christ's Lordship"" [De-registered 26/07/12]",Political Party,AL0037139,Loan,100000,,Not specified,Outstanding,,,100000,2011-03-22,,,2011-04-30,
Individual,Lord Malcolm Pearson,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0037140,Loan,1152000,,Nil,Ended,1152000,,,2011-01-07,2012-12-31,2012-03-22,2011-04-21,United Kingdom Independence Party Limited
Organisation,Bowns Bags & Luggage,Company,Unit 2A,RM10 8XE,6727338,Party,UK Independence Party (UKIP),Political Party,AL0037141,Loan,2500000,,Nil,Ended,,2500000,,2011-03-29,2012-12-31,2011-12-14,2011-04-21,
Individual,Stuart Wheeler,Individual,,,,Party,UK Independence Party (UKIP),Political Party,AL0037145,Loan,2500000,,Nil,Ended,,2500000,,2011-03-14,2012-12-31,2011-12-06,2011-04-21,
